inp_spike_0,inp_spike_1,inp_spike_2,inp_spike_3,inp_spike_4,inp_spike_5,inp_spike_6,inp_spike_7,inp_spike_8,inp_spike_9,inp_spike_10,inp_spike_11,inp_spike_12,inp_spike_13,inp_spike_14,inp_spike_15,inp_spike_16,inp_spike_17,inp_spike_18,inp_spike_19,inp_spike_20,inp_spike_21,inp_spike_22,inp_spike_23,inp_spike_24,inp_spike_25,inp_spike_26,inp_spike_27,inp_spike_28,inp_spike_29,inp_spike_30,inp_spike_31,inp_spike_32,inp_spike_33,inp_spike_34,inp_spike_35,inp_spike_36,inp_spike_37,inp_spike_38,inp_spike_39,inp_spike_40,inp_spike_41,inp_spike_42,inp_spike_43,inp_spike_44,inp_spike_45,inp_spike_46,inp_spike_47,inp_spike_48,inp_spike_49,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,neuron_30,neuron_31,neuron_32,neuron_33,neuron_34,neuron_35,neuron_36,neuron_37,neuron_38,neuron_39,neuron_40,neuron_41,neuron_42,neuron_43,neuron_44,neuron_45,neuron_46,neuron_47,neuron_48,neuron_49,out_spike_0,out_spike_1,out_spike_2,out_spike_3,out_spike_4,out_spike_5,out_spike_6,out_spike_7,out_spike_8,out_spike_9,out_spike_10,out_spike_11,out_spike_12,out_spike_13,out_spike_14,out_spike_15,out_spike_16,out_spike_17,out_spike_18,out_spike_19,out_spike_20,out_spike_21,out_spike_22,out_spike_23,out_spike_24,out_spike_25,out_spike_26,out_spike_27,out_spike_28,out_spike_29,out_spike_30,out_spike_31,out_spike_32,out_spike_33,out_spike_34,out_spike_35,out_spike_36,out_spike_37,out_spike_38,out_spike_39,out_spike_40,out_spike_41,out_spike_42,out_spike_43,out_spike_44,out_spike_45,out_spike_46,out_spike_47,out_spike_48,out_spike_49
0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,-65.39267999377303,-64.41993022806443,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-64.41993022806443,-65.39267999377303,-64.41993022806443,-65.39267999377303,-64.41993022806443,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-64.41993022806443,-64.41993022806443,-65.39267999377303,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-65.39267999377303,-64.41993022806443,-64.41993022806443,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-64.41993022806443,-64.41993022806443,-64.41993022806443,-65.39267999377303,-64.41993022806443,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,-64.8030418600914,-63.85949959134576,-65.77130823360841,-64.8030418600914,-64.83887214606148,-65.77130823360841,-64.83887214606148,-64.8030418600914,-64.83887214606148,-64.8030418600914,-63.85949959134576,-64.8030418600914,-64.8030418600914,-64.83887214606148,-65.77130823360841,-65.77130823360841,-63.85949959134576,-65.77130823360841,-65.77130823360841,-63.85949959134576,-65.77130823360841,-63.85949959134576,-63.85949959134576,-64.8030418600914,-63.85949959134576,-64.8030418600914,-65.77130823360841,-65.77130823360841,-63.85949959134576,-65.77130823360841,-65.77130823360841,-64.8030418600914,-64.83887214606148,-64.8030418600914,-64.8030418600914,-63.85949959134576,-63.85949959134576,-64.8030418600914,-64.8030418600914,-63.85949959134576,-65.77130823360841,-64.83887214606148,-64.83887214606148,-64.83887214606148,-64.8030418600914,-64.83887214606148,-63.85949959134576,-64.8030418600914,-64.8030418600914,-64.8030418600914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,-64.23641980539755,-64.2994958769896,-66.13395659530985,-64.23641980539755,-64.27197531357425,-66.13395659530985,-64.27197531357425,-64.23641980539755,-64.27197531357425,-64.23641980539755,-63.31364829640997,-65.21136440094942,-65.21136440094942,-64.27197531357425,-65.16997528978263,-65.16997528978263,-64.2994958769896,-65.16997528978263,-66.13395659530985,-64.2994958769896,-66.13395659530985,-64.2994958769896,-64.2994958769896,-65.21136440094942,-64.2994958769896,-65.21136440094942,-66.13395659530985,-65.16997528978263,-63.31364829640997,-65.16997528978263,-65.16997528978263,-65.21136440094942,-65.2465046681447,-65.21136440094942,-64.23641980539755,-63.31364829640997,-63.31364829640997,-65.21136440094942,-64.23641980539755,-63.31364829640997,-66.13395659530985,-65.2465046681447,-65.2465046681447,-64.27197531357425,-65.21136440094942,-64.27197531357425,-64.2994958769896,-64.23641980539755,-64.23641980539755,-65.21136440094942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,-64.6688990695865,-63.75073557842412,-66.47908949716897,-64.6688990695865,-64.70404087164692,-65.51917799670727,-64.70404087164692,-63.68745948482352,-63.72301818373601,-63.68745948482352,-62.77777205290623,-65.60606176327727,-64.63579688675357,-64.70404087164692,-65.56582112989538,-64.59508129688402,-64.73143430562698,-65.56582112989538,-66.47908949716897,-64.73143430562698,-66.47908949716897,-64.73143430562698,-63.75073557842412,-65.60606176327727,-64.73143430562698,-65.60606176327727,-66.47908949716897,-65.56582112989538,-62.77777205290623,-64.59508129688402,-64.59508129688402,-65.60606176327727,-65.64027917703608,-64.63579688675357,-64.6688990695865,-63.7699997723833,-62.77777205290623,-64.63579688675357,-64.6688990695865,-62.77777205290623,-66.47908949716897,-64.67041773422628,-65.64027917703608,-63.72301818373601,-65.60606176327727,-64.70404087164692,-63.75073557842412,-63.68745948482352,-63.68745948482352,-65.60606176327727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,-64.11427579232492,-63.215320800246566,-66.80556537001468,-64.11427579232492,-65.1251634184126,-65.90107666771955,-65.1251634184126,-64.13918638903809,-63.187207331236536,-64.13918638903809,-62.247551399851424,-65.01915747167982,-64.08128412724597,-65.1251634184126,-65.94608154814391,-64.04090575404982,-64.17651985332037,-64.97984126922712,-66.80556537001468,-64.17651985332037,-66.80556537001468,-64.17651985332037,-64.2023750250599,-65.98494011308999,-64.17651985332037,-65.98494011308999,-65.84949621250614,-64.97984126922712,-62.247551399851424,-64.04090575404982,-65.01818603943799,-65.01915747167982,-66.01803327275064,-65.05809157066813,-64.11427579232492,-64.22193837485044,-63.246114626817075,-65.05809157066813,-65.09069780958461,-62.247551399851424,-65.84949621250614,-64.11566899302264,-66.01803327275064,-63.187207331236536,-65.98494011308999,-64.14914931973121,-63.215320800246566,-64.13918638903809,-63.15138060616659,-65.98494011308999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-63.57590813324598,-62.688855544147266,-67.11262337626286,-64.55870470582309,-64.56139120628663,-66.26578860093302,-65.53257122123966,-63.60113126139616,-62.66014669052781,-63.60113126139616,-61.718801918585704,-65.42915314761716,-63.54277945790836,-65.53257122123966,-65.34697651790556,-63.502426885271056,-63.63833048478457,-65.39087041783367,-67.11262337626286,-63.63833048478457,-66.16016141821808,-64.620395050063,-63.66445479096878,-65.38469787095336,-64.620395050063,-65.38469787095336,-65.25331135809168,-64.41801706396183,-62.723705365816485,-63.502426885271056,-65.42831637849054,-65.42915314761716,-66.37801707917681,-64.49518714844058,-63.57590813324598,-63.68437315545024,-63.71399211953698,-65.46713932753319,-65.49901763595214,-62.723705365816485,-65.25331135809168,-63.577191227142556,-65.41687267498111,-63.653811009526144,-66.34621560870379,-64.59316798845033,-63.6821816383073,-64.58363306971312,-62.62379085649914,-66.34621560870379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,-64.03830012555517,-63.16675278848167,-67.3998580709206,-64.01510383078934,-64.99515679617268,-65.65347520680993,-65.9238893823367,-64.06370896390838,-63.13759157134155,-64.06370896390838,-62.1986325082606,-64.85597918692247,-64.0051897481249,-64.9573419407223,-65.74418473650101,-62.97511509145439,-64.10061012715555,-64.81852965136092,-67.3998580709206,-64.10061012715555,-66.51125108769503,-65.05338876969476,-64.12687358675332,-64.81245469518917,-65.05338876969476,-65.78068928153897,-65.6536349409887,-63.87499073204364,-62.204441166128106,-63.96504417792305,-65.82300233341115,-64.85597918692247,-66.71890082187723,-63.95169601314677,-63.04924480949308,-64.14704144480493,-63.1900756669563,-65.86050611378525,-65.89145244850084,-63.20356991250639,-64.68390002497789,-63.05043077872814,-64.84400802910137,-64.11658155803914,-65.73103861736081,-65.02652253078622,-63.15717256855993,-65.01747227876668,-62.100528739632566,-66.6885235567995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.510171154542604,-62.650738010851725,-67.66718505997018,-63.48659528135714,-65.41551721403624,-65.07193637798254,-65.33503574455801,-64.51915850204406,-62.62103554204805,-64.51915850204406,-62.686510196062166,-64.30536691588233,-63.47696752215904,-64.40552469350745,-66.1243355682115,-63.450901862578775,-64.55546312919482,-64.26843309546256,-66.72122171396245,-63.57258071634585,-65.88731382375181,-65.47254633441491,-64.58163771049131,-65.23712228025896,-65.47254633441491,-66.15942432534783,-65.07219755752972,-64.3315605833248,-62.69153767668846,-64.4213636969254,-65.23691713005614,-64.30536691588233,-67.03976550182949,-64.4074725474867,-62.530076137348956,-64.6018733956981,-62.67461787222427,-65.27332805196457,-66.26602407331363,-63.68297578299325,-65.11179934645502,-63.52640952701344,-64.29360132293965,-64.57176877986548,-66.1117281346926,-65.446239393049,-63.634356508078305,-65.43771962279752,-62.584152533344835,-67.01091051597164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,-62.99294241905215,-62.1390485677687,-67.9148007545639,-63.95887563911634,-64.85206377886448,-65.48674234683651,-65.74186822291631,-63.98596048981975,-62.108594404150324,-63.98596048981975,-62.178659457487456,-63.772234245325805,-62.95940869302261,-63.871962121749206,-66.48573635500401,-63.924248280689234,-64.02181433519372,-63.73552710428734,-67.03985102815919,-63.05589760042838,-66.25926642875966,-65.87532441479408,-65.02527974110896,-65.64696011524562,-65.87532441479408,-66.51924949719076,-65.48709755533592,-63.79881348966925,-63.18236973688955,-64.86783131441236,-65.64675663188328,-64.75275153364814,-67.3400794167066,-63.87421786780829,-62.014387590580846,-65.04540941486462,-62.16365173448091,-65.68198978902778,-66.62119729465395,-63.17012873102448,-64.55439838860923,-63.00972798836298,-64.74123469080537,-65.01589523457042,-65.51367531816636,-65.84975215387551,-64.10747953022954,-65.8417972509823,-62.07175676214402,-67.31281202243144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,-63.47842529000553,-62.63388019924665,-68.1431391062221,-64.4245043305284,-64.3106385464071,-64.91830974575683,-65.1668652532104,-63.46724157106417,-61.596371748699625,-64.45140422562032,-62.677082040376995,-63.25205403480052,-63.444728542030184,-64.3375942652762,-66.82713301694717,-64.39119552670915,-64.48665846431534,-63.21530194974426,-66.38827994714651,-62.54651661113567,-66.61207197417296,-66.25963075638278,-64.48250673863919,-66.0396422454598,-65.29700942402228,-65.90343630800008,-64.91875477142291,-64.26556847966728,-62.6790459532977,-64.32722025961553,-65.0742308300503,-65.18797043464005,-66.67310716221081,-63.35464985597557,-62.505843769109795,-65.47455804980633,-61.65330557961546,-65.10848575887881,-66.95587581510753,-62.6653071242786,-64.01658279908072,-62.50001427715744,-64.20131183552031,-65.44584577180501,-65.91117347710157,-65.27203148050548,-64.57263787061414,-65.26457642173108,-61.55929968146534,-67.5940191761411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
