inp_spike_0,inp_spike_1,inp_spike_2,inp_spike_3,inp_spike_4,inp_spike_5,inp_spike_6,inp_spike_7,inp_spike_8,inp_spike_9,inp_spike_10,inp_spike_11,inp_spike_12,inp_spike_13,inp_spike_14,inp_spike_15,inp_spike_16,inp_spike_17,inp_spike_18,inp_spike_19,inp_spike_20,inp_spike_21,inp_spike_22,inp_spike_23,inp_spike_24,inp_spike_25,inp_spike_26,inp_spike_27,inp_spike_28,inp_spike_29,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,out_spike_0,out_spike_1,out_spike_2,out_spike_3,out_spike_4,out_spike_5,out_spike_6,out_spike_7,out_spike_8,out_spike_9,out_spike_10,out_spike_11,out_spike_12,out_spike_13,out_spike_14,out_spike_15,out_spike_16,out_spike_17,out_spike_18,out_spike_19,out_spike_20,out_spike_21,out_spike_22,out_spike_23,out_spike_24,out_spike_25,out_spike_26,out_spike_27,out_spike_28,out_spike_29
0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,-65.39267999377303,-64.41993022806443,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-64.41993022806443,-65.39267999377303,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-65.39267999377303,-64.41993022806443,-65.39267999377303,-64.41993022806443,-65.39267999377303,-64.41993022806443,-64.41993022806443,-65.39267999377303,-65.39267999377303,-65.39267999377303,-64.41993022806443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,-65.77130823360841,-63.85949959134576,-63.85949959134576,-65.77130823360841,-64.8030418600914,-64.8030418600914,-64.8030418600914,-65.77130823360841,-64.83887214606148,-64.8030418600914,-64.83887214606148,-64.8030418600914,-64.83887214606148,-65.77130823360841,-64.8030418600914,-64.8030418600914,-65.77130823360841,-64.83887214606148,-64.8030418600914,-64.8030418600914,-64.83887214606148,-65.77130823360841,-63.85949959134576,-65.77130823360841,-63.85949959134576,-63.85949959134576,-64.8030418600914,-64.8030418600914,-64.8030418600914,-64.83887214606148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,-66.13395659530985,-63.31364829640997,-63.31364829640997,-65.16997528978263,-64.23641980539755,-65.21136440094942,-64.23641980539755,-65.16997528978263,-64.27197531357425,-65.21136440094942,-64.27197531357425,-65.21136440094942,-65.2465046681447,-66.13395659530985,-65.21136440094942,-64.23641980539755,-65.16997528978263,-65.2465046681447,-64.23641980539755,-65.21136440094942,-64.27197531357425,-65.16997528978263,-63.31364829640997,-65.16997528978263,-64.2994958769896,-63.31364829640997,-65.21136440094942,-64.23641980539755,-64.23641980539755,-64.27197531357425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-66.47908949716897,-63.7699997723833,-62.77777205290623,-64.59508129688402,-63.68745948482352,-64.63579688675357,-64.6688990695865,-64.59508129688402,-64.70404087164692,-64.63579688675357,-64.70404087164692,-64.63579688675357,-64.67041773422628,-66.47908949716897,-65.60606176327727,-64.6688990695865,-64.59508129688402,-64.67041773422628,-63.68745948482352,-64.63579688675357,-63.72301818373601,-64.59508129688402,-62.77777205290623,-64.59508129688402,-63.75073557842412,-62.77777205290623,-64.63579688675357,-63.68745948482352,-63.68745948482352,-63.72301818373601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-65.84949621250614,-64.22193837485044,-63.24611462681708,-65.01818603943799,-64.13918638903809,-64.08128412724597,-65.09069780958461,-65.01818603943799,-64.14914931973121,-64.08128412724597,-65.1251634184126,-64.08128412724597,-65.09207419621933,-66.80556537001468,-65.98494011308999,-65.09069780958461,-64.04090575404982,-64.11566899302264,-64.13918638903809,-64.08128412724597,-64.17459145761862,-65.01818603943799,-62.247551399851424,-65.01818603943799,-64.2023750250599,-63.24611462681708,-64.08128412724597,-64.13918638903809,-64.13918638903809,-63.187207331236536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,-66.21635652953866,-63.68437315545024,-62.72104175164159,-65.42831637849054,-64.58363306971312,-64.52596455697112,-64.52744141540335,-64.455905253737,-63.61078088077313,-64.52596455697112,-64.56139120628663,-63.54277945790836,-64.52868796266861,-67.11262337626286,-65.38469787095336,-64.52744141540335,-63.502426885271056,-63.57719122714256,-64.58363306971312,-64.52596455697112,-63.63651143800306,-65.42831637849054,-62.723705365816485,-64.455905253737,-64.64621405026062,-62.72104175164159,-64.52596455697112,-64.58363306971312,-64.58363306971312,-63.653811009526144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-65.60583994225004,-64.14704144480493,-63.20015116989844,-64.85526625212653,-65.01747227876668,-63.98249105587279,-64.96184507447961,-64.89154865835481,-64.07301390572182,-63.98249105587279,-64.01755743343229,-64.0051897481249,-64.962963262519,-67.3998580709206,-65.78068928153897,-63.98385084896288,-63.96504417792305,-64.039471631705,-64.04013507611668,-64.96050169624824,-64.09890430598435,-65.82300233341115,-62.204441166128106,-64.89154865835481,-65.07896023487389,-63.20015116989844,-64.96050169624824,-65.01747227876668,-65.01747227876668,-63.12845622701197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,-65.02562287116142,-63.61953999063192,-63.67885406024656,-65.27898711005955,-64.46537309488528,-63.45386880664168,-65.38307919491949,-64.34072610602999,-64.52805528437342,-63.45386880664168,-64.47270620291005,-63.47696752215904,-65.38406722758688,-67.66718505997018,-65.1956669152832,-64.4393857209438,-64.4213636969254,-63.51123903735796,-64.49550071059939,-65.38187264580206,-64.55387993957582,-65.23691713005614,-62.69153767668846,-64.34072610602999,-64.52603733272754,-62.68543340452445,-65.38187264580206,-64.46537309488528,-64.46537309488528,-62.61114685071076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,-65.44186839228553,-64.09216537652141,-63.16531242008607,-64.7182226460784,-63.93197127312151,-62.93575505243293,-64.82033494591492,-64.78775007946429,-64.97241118255353,-62.93575505243293,-64.91762935606127,-62.95940869302261,-65.78937867863317,-67.9148007545639,-64.63634693450277,-63.9060055951337,-63.888675279500575,-62.99391762514649,-63.96214440052743,-65.78745179580687,-64.9979562041119,-64.67689891490421,-63.18236973688955,-64.78775007946429,-64.97022460934932,-63.1747928287114,-65.78745179580687,-63.93197127312151,-64.91061770337,-62.09789198129859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,-65.84216857392894,-64.55697983702896,-63.65354747519627,-65.15412816927504,-63.41267304571948,-63.42064691940738,-64.27935440844306,-64.24740202486561,-65.40294014073812,-62.42410363410476,-64.37571550736382,-62.44847225393278,-66.17671778330119,-68.1431391062221,-65.07398537591655,-64.37165229750669,-63.36975559609825,-63.47930605740616,-64.42754948322609,-66.1750551832507,-64.45550473264124,-64.13747555419037,-63.67259478076672,-65.22233622849225,-64.42778654923248,-63.66365539170517,-65.21143962191587,-63.41267304571948,-65.34249946976323,-61.584781892245445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
