inp_spike_0,inp_spike_1,inp_spike_2,inp_spike_3,inp_spike_4,inp_spike_5,inp_spike_6,inp_spike_7,inp_spike_8,inp_spike_9,inp_spike_10,inp_spike_11,inp_spike_12,inp_spike_13,inp_spike_14,inp_spike_15,inp_spike_16,inp_spike_17,inp_spike_18,inp_spike_19,inp_spike_20,inp_spike_21,inp_spike_22,inp_spike_23,inp_spike_24,inp_spike_25,inp_spike_26,inp_spike_27,inp_spike_28,inp_spike_29,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,out_spike_0,out_spike_1,out_spike_2,out_spike_3,out_spike_4,out_spike_5,out_spike_6,out_spike_7,out_spike_8,out_spike_9,out_spike_10,out_spike_11,out_spike_12,out_spike_13,out_spike_14,out_spike_15,out_spike_16,out_spike_17,out_spike_18,out_spike_19,out_spike_20,out_spike_21,out_spike_22,out_spike_23,out_spike_24,out_spike_25,out_spike_26,out_spike_27,out_spike_28,out_spike_29
10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,-64.94022681282723,-65.03992966648215,-65.03992966648215,-64.94022681282723,-64.94022681282723,-64.94022681282723,-65.03992966648215,-65.03992966648215,-64.94022681282723,-64.94022681282723,-65.03992966648215,-64.94022681282723,-65.03992966648215,-65.03992966648215,-64.94022681282723,-65.03992966648215,-64.94022681282723,-64.94022681282723,-65.03992966648215,-65.03992966648215,-64.94022681282723,-65.03992966648215,-64.94022681282723,-65.03992966648215,-65.03992966648215,-64.94022681282723,-64.94022681282723,-65.03992966648215,-65.03992966648215,-64.94022681282723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,-64.88072447098595,-64.98003900742917,-64.98003900742917,-64.9804344555071,-64.88072447098595,-64.88072447098595,-65.07973709317693,-64.98003900742917,-64.88072447098595,-64.9804344555071,-64.98003900742917,-64.88072447098595,-64.98003900742917,-65.07973709317693,-64.88072447098595,-64.98003900742917,-64.9804344555071,-64.9804344555071,-65.07973709317693,-65.07973709317693,-64.88072447098595,-65.07973709317693,-64.9804344555071,-65.07973709317693,-65.07973709317693,-64.9804344555071,-64.88072447098595,-65.07973709317693,-65.07973709317693,-64.9804344555071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,-64.82148668358285,-64.92042304839478,-65.02012827842582,-64.92081775736595,-64.92120376755507,-64.92120376755507,-65.11941985226726,-65.02012827842582,-64.92120376755507,-65.0205229401441,-65.02012827842582,-64.92120376755507,-65.02012827842582,-65.01972651938974,-64.82148668358285,-65.02012827842582,-64.92081775736595,-65.0205229401441,-65.11941985226726,-65.01972651938974,-64.82148668358285,-65.11941985226726,-64.92081775736595,-65.01972651938974,-65.11941985226726,-65.0205229401441,-64.92120376755507,-65.11941985226726,-65.01972651938974,-64.92081775736595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,-64.86223140847055,-64.96078778910841,-64.96039548461084,-64.8614694521137,-64.86185479623852,-64.96156704538078,-65.15897555144771,-65.06009592747778,-64.86185479623852,-64.96078938032954,-64.96039548461084,-64.86185479623852,-64.96039548461084,-64.95999451458975,-64.86223140847055,-64.96039548461084,-64.96118174738854,-64.96078938032954,-65.05928695611794,-65.05969500545854,-64.86223140847055,-65.15897555144771,-64.96118174738854,-64.95999451458975,-65.05928695611794,-65.06048977604196,-64.96156704538078,-65.15897555144771,-65.05969500545854,-64.8614694521137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,-64.80314402386277,-64.90132649055741,-65.00064246933465,-64.90210267104227,-64.80276800672796,-64.90210432327893,-65.09871796093748,-65.00024382802147,-64.80276800672796,-64.9013280661794,-64.9009349007125,-64.90248733731215,-64.9009349007125,-64.90053468326265,-64.80314402386277,-65.00064246933465,-64.90171971809839,-65.00103558773257,-65.09913227955823,-65.09953944059808,-64.90286330943024,-65.09871796093748,-64.90171971809839,-65.00024229979847,-64.99943651224251,-65.10033250761288,-64.90210432327893,-65.09871796093748,-64.99984372203058,-64.80238329439928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,-64.84403903976389,-64.84213114066256,-64.94106568241864,-64.84290598287814,-64.74393724806438,-64.94262214262265,-65.03874672033018,-65.04037061553593,-64.84366362969126,-64.94184731671197,-64.84174023036707,-64.84328999029714,-64.94145489316648,-64.841340729484,-64.84403903976389,-64.94106568241864,-64.84252367279056,-65.04116075909963,-65.13885115839933,-65.03956644261012,-64.84366534074722,-65.03874672033018,-64.84252367279056,-64.94066629280513,-64.93986207135696,-65.14004871480581,-64.94262214262265,-65.13843777997906,-65.0399713367707,-64.74355313365402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,-64.7851003818693,-64.78319553919296,-64.98146852946337,-64.78396911185934,-64.68535646114886,-64.88331231444205,-65.07875353827771,-64.98067591842238,-64.78472556076808,-64.88253888092987,-64.78280527375293,-64.78435249446026,-64.88214717956116,-64.78240645385506,-64.7851003818693,-64.98146852946337,-64.88330904331556,-65.08116241106539,-65.1784412075706,-64.979873366175,-64.8844487524101,-64.97905532560533,-64.78358741082042,-64.88136001373391,-64.8805572855926,-65.17963601351659,-64.98302199831213,-65.07834247853769,-64.98027744612024,-64.7847063600704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.7264155326561,-64.82424229220598,-64.92204592975725,-64.82501457078847,-64.72676007127704,-64.92398289855083,-65.01894111395323,-64.92125481428847,-64.72604126775194,-64.82349402806301,-64.72412392460889,-64.82539731638764,-64.92281991339361,-64.82345455756199,-64.7264155326561,-64.92204592975725,-64.82426289787,-65.12103809581863,-65.11821853560222,-64.92045380958375,-64.92511732836151,-64.9196373760035,-64.72490482513523,-64.92203420581424,-64.92123299498704,-65.21909205597956,-65.0233013452567,-65.11822440347599,-65.0205622993192,-64.82575068632039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,-64.6679784743148,-64.86517755333645,-64.8628906917298,-64.86594848281692,-64.76805807247067,-64.86482421794139,-64.95940601345306,-64.96181322942479,-64.7673402671524,-64.86443050027486,-64.76542593053287,-64.7666068931229,-64.96337536626645,-64.86439122533207,-64.76771396352788,-64.96260282594153,-64.86519805341027,-65.06109701378188,-65.1579722777887,-64.86130147126389,-64.96566846276907,-64.86048657086685,-64.66646989937153,-64.86287903603578,-64.86207930239014,-65.15873784048665,-65.0634576734988,-65.05828941167759,-64.96102394360224,-64.8666834126544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,-64.70952574167924,-64.9059986554119,-64.9037158017132,-64.90676818132272,-64.8092477068603,-64.80592686473074,-64.90014188315347,-65.00225189885293,-64.80853095230584,-64.80553385827209,-64.80661976044878,-64.8077986855148,-65.00381096531225,-64.90521378942793,-64.80890405306486,-65.0030399218952,-64.90601904884892,-65.00143737044763,-65.19759544972352,-64.8024101467059,-65.0060995844754,-64.80159670656664,-64.60827670502934,-64.803985020419,-64.90290598205361,-65.09867535093068,-65.10348850866492,-65.09833147137627,-65.00146418434556,-64.80778313375312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
