x,y
511.82,315.88
789.57,197.14
924.9,0.16
392.36,566.44
374.25,566.32
745.68,989.56
854.51,54.88
120.18,361.23
437.08,300.22
559.22,870.85
754.61,963.28
403.63,826.06
429.27,871.81
136.05,334.39
425.13,94.09
222.21,213.18
179.15,173.26
843.93,523.58
470.39,277.47
386.56,490.83
731.1,748.25
207.51,889.58
423.53,235.52
343.48,199.75
460.97,447.31
819.17,377.05
78.52,344.28
125.63,347.39
909.62,148.53
898.16,862.01
924.88,287.54
296.63,859.85
38.77,168.49
449.66,871.31
190.87,413.39
617.24,939.2
97.1,299.89
903.29,387.06
531.46,133.28
792.75,791.67
394.31,948.89
544.44,459.19
628.65,9.98
426.29,283.8
593.89,532.77
238.9,28.09
325.02,218.9
826.41,255.79
220.42,795.6
966.78,720.28
405.48,986.52
502.29,418.92
251.63,83.61
681.67,678.23
625.44,666.45
93.56,497.91
618.32,797.68
996.76,889.51
155.79,458.54
409.07,237.92
906.67,908.66
187.38,997.39
27.63,266.93
768.77,61.74
752.5,785.9
298.6,436.67
38.13,157.0
766.5,226.07
855.94,505.75
149.11,378.06
630.05,919.97
591.83,468.58
86.77,325.32
385.27,727.17
423.77,726.27
560.98,284.99
12.39,139.1
824.82,755.07
175.38,195.68
355.35,434.23
790.63,704.02
689.42,207.61
557.77,238.26
58.16,729.21
843.06,226.28
502.79,882.32
551.94,833.47
237.13,172.82
338.55,715.38
988.42,368.37
166.55,820.1
351.39,483.82
162.57,414.89
199.64,776.51
778.48,866.29
291.78,831.3
937.82,154.0
986.64,643.55
906.46,502.94
766.91,407.71
