inp_spike_0,inp_spike_1,inp_spike_2,inp_spike_3,inp_spike_4,inp_spike_5,inp_spike_6,inp_spike_7,inp_spike_8,inp_spike_9,inp_spike_10,inp_spike_11,inp_spike_12,inp_spike_13,inp_spike_14,inp_spike_15,inp_spike_16,inp_spike_17,inp_spike_18,inp_spike_19,inp_spike_20,inp_spike_21,inp_spike_22,inp_spike_23,inp_spike_24,inp_spike_25,inp_spike_26,inp_spike_27,inp_spike_28,inp_spike_29,inp_spike_30,inp_spike_31,inp_spike_32,inp_spike_33,inp_spike_34,inp_spike_35,inp_spike_36,inp_spike_37,inp_spike_38,inp_spike_39,inp_spike_40,inp_spike_41,inp_spike_42,inp_spike_43,inp_spike_44,inp_spike_45,inp_spike_46,inp_spike_47,inp_spike_48,inp_spike_49,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,neuron_30,neuron_31,neuron_32,neuron_33,neuron_34,neuron_35,neuron_36,neuron_37,neuron_38,neuron_39,neuron_40,neuron_41,neuron_42,neuron_43,neuron_44,neuron_45,neuron_46,neuron_47,neuron_48,neuron_49,out_spike_0,out_spike_1,out_spike_2,out_spike_3,out_spike_4,out_spike_5,out_spike_6,out_spike_7,out_spike_8,out_spike_9,out_spike_10,out_spike_11,out_spike_12,out_spike_13,out_spike_14,out_spike_15,out_spike_16,out_spike_17,out_spike_18,out_spike_19,out_spike_20,out_spike_21,out_spike_22,out_spike_23,out_spike_24,out_spike_25,out_spike_26,out_spike_27,out_spike_28,out_spike_29,out_spike_30,out_spike_31,out_spike_32,out_spike_33,out_spike_34,out_spike_35,out_spike_36,out_spike_37,out_spike_38,out_spike_39,out_spike_40,out_spike_41,out_spike_42,out_spike_43,out_spike_44,out_spike_45,out_spike_46,out_spike_47,out_spike_48,out_spike_49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,-65.39267999377303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,-65.77130823360841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,-66.13395659530985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,-66.47908949716897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,-66.80556537001468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,-67.11262337626286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,-67.3998580709206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,-67.66718505997018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,-67.9148007545639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,-68.1431391062221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
