inp_spike_0,inp_spike_1,inp_spike_2,inp_spike_3,inp_spike_4,inp_spike_5,inp_spike_6,inp_spike_7,inp_spike_8,inp_spike_9,inp_spike_10,inp_spike_11,inp_spike_12,inp_spike_13,inp_spike_14,inp_spike_15,inp_spike_16,inp_spike_17,inp_spike_18,inp_spike_19,inp_spike_20,inp_spike_21,inp_spike_22,inp_spike_23,inp_spike_24,inp_spike_25,inp_spike_26,inp_spike_27,inp_spike_28,inp_spike_29,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,out_spike_0,out_spike_1,out_spike_2,out_spike_3,out_spike_4,out_spike_5,out_spike_6,out_spike_7,out_spike_8,out_spike_9,out_spike_10,out_spike_11,out_spike_12,out_spike_13,out_spike_14,out_spike_15,out_spike_16,out_spike_17,out_spike_18,out_spike_19,out_spike_20,out_spike_21,out_spike_22,out_spike_23,out_spike_24,out_spike_25,out_spike_26,out_spike_27,out_spike_28,out_spike_29
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,-65.03992966648215,-65.03992966648215,-65.03992966648215,-65.03992966648215,-65.03992966648215,-64.94022681282723,-65.03992966648215,-65.03992966648215,-65.03992966648215,-65.03992966648215,-64.94022681282723,-65.03992966648215,-65.03992966648215,-64.94022681282723,-65.03992966648215,-65.03992966648215,-65.03992966648215,-65.03992966648215,-65.03992966648215,-65.03992966648215,-65.03992966648215,-64.94022681282723,-65.03992966648215,-64.94022681282723,-65.03992966648215,-64.94022681282723,-65.03992966648215,-65.03992966648215,-65.03992966648215,-64.94022681282723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,-65.07973709317693,-65.07973709317693,-64.98003900742917,-64.98003900742917,-64.98003900742917,-64.9804344555071,-65.07973709317693,-65.07973709317693,-65.07973709317693,-64.98003900742917,-64.88072447098595,-64.98003900742917,-64.98003900742917,-64.9804344555071,-65.07973709317693,-64.98003900742917,-65.07973709317693,-64.98003900742917,-65.07973709317693,-64.98003900742917,-65.07973709317693,-64.88072447098595,-65.07973709317693,-64.9804344555071,-64.98003900742917,-64.9804344555071,-65.07973709317693,-65.07973709317693,-64.98003900742917,-64.88072447098595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,-65.11941985226726,-65.11941985226726,-64.92042304839478,-65.02012827842582,-64.92042304839478,-64.92081775736595,-65.11941985226726,-65.01972651938974,-65.11941985226726,-64.92042304839478,-64.92120376755507,-64.92042304839478,-64.92042304839478,-65.0205229401441,-65.11941985226726,-65.02012827842582,-65.01972651938974,-64.92042304839478,-65.11941985226726,-64.92042304839478,-65.11941985226726,-64.82148668358285,-65.11941985226726,-65.0205229401441,-64.92042304839478,-64.92081775736595,-65.01972651938974,-65.11941985226726,-65.02012827842582,-64.82148668358285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,-65.05928695611794,-65.05928695611794,-64.86107544666298,-65.06009592747778,-64.96078778910841,-64.96118174738854,-65.05928695611794,-64.95999451458975,-65.05928695611794,-64.96078778910841,-64.96156704538078,-64.96078778910841,-64.96078778910841,-65.06048977604196,-65.05928695611794,-65.06009592747778,-65.05969500545854,-64.96078778910841,-65.05928695611794,-64.96078778910841,-65.05928695611794,-64.86223140847055,-65.05928695611794,-64.96078938032954,-64.86107544666298,-64.96118174738854,-65.05969500545854,-65.05928695611794,-64.96039548461084,-64.86223140847055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,-65.09913227955823,-65.09913227955823,-64.90170938103785,-65.09993949869161,-64.90132649055741,-65.00142719276435,-65.09913227955823,-64.90053468326265,-64.99943651224251,-65.00103401229978,-64.90210432327893,-64.90132649055741,-64.90132649055741,-65.10033250761288,-64.99943651224251,-65.00024382802147,-65.09953944059808,-64.90132649055741,-65.09913227955823,-65.00103401229978,-65.09913227955823,-64.90286330943024,-65.09913227955823,-65.00103558773257,-64.90170938103785,-64.90171971809839,-65.09953944059808,-65.09913227955823,-64.9009349007125,-64.90286330943024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,-65.03916014824244,-65.03916014824244,-64.84251338876152,-65.03996565797597,-64.94184575666169,-64.94184890664441,-65.03916014824244,-64.841340729484,-64.93986207135696,-65.0411591994869,-64.84290761958472,-64.84213114066256,-64.84213114066256,-65.14004871480581,-65.03956497787753,-65.04037061553593,-65.13925740412945,-64.94184575666169,-65.03916014824244,-65.0411591994869,-65.13885115839933,-64.94337977307238,-65.13885115839933,-65.04116075909963,-64.84251338876152,-64.84252367279056,-65.13925740412945,-65.13885115839933,-64.84174023036707,-64.84366534074722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,-65.07916606427997,-65.07916606427997,-64.883298812432,-64.98027177558762,-64.98224711294898,-64.88254045536488,-64.97946790099948,-64.88212822774321,-64.8805572855926,-64.98146294285434,-64.78397073325326,-64.88291721860595,-64.88291721860595,-65.17963601351659,-64.97987191693804,-65.0803739370861,-65.07916029130182,-64.98224711294898,-65.07916606427997,-65.08116086730189,-65.1784412075706,-64.88406862686695,-65.1784412075706,-65.08116241106539,-64.883298812432,-64.78358741082042,-65.17884651131077,-65.0787549390379,-64.88252699989089,-64.8844487524101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,-65.01935275986243,-65.11904614661013,-64.82425271942803,-65.02055663722857,-64.92282306190893,-64.82349558721396,-65.01975442051317,-64.92280105355215,-64.92123299498704,-64.92204035074802,-64.82501617689,-64.92358856876655,-64.92358856876655,-65.21909205597956,-65.02015761128402,-65.02055810178537,-65.01934699573202,-64.92282306190893,-65.01935275986243,-65.0213434194863,-65.11821853560222,-64.82502119988298,-65.11821853560222,-65.02134494755751,-64.92396948136964,-64.8246334910026,-65.21830441372924,-65.01894249928534,-64.92319906906103,-64.92511732836151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,-64.95981681714964,-65.15879798179627,-64.86518792752632,-64.96101828968013,-64.86366644235088,-64.76470814583836,-64.96021768935032,-64.86364455541819,-64.86207930239014,-64.86288511983568,-64.76622635702381,-64.964142584195,-64.86443063434315,-65.25841453114113,-65.06032050082803,-64.9610197388353,-65.05951158327981,-64.86366644235088,-65.05951733838324,-64.96180351589567,-65.1579722777887,-64.7662313342009,-65.05828355325109,-64.96180502848941,-64.96452278890223,-64.76584428922769,-65.15795201495666,-65.05910795380868,-64.96375383064232,-64.96566846276907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,-64.90055188204519,-65.19841919275616,-64.80629005807461,-64.9017510588061,-64.80477104724312,-64.70617206729646,-65.00065957773461,-64.90446838174812,-64.90290598205361,-64.80399104391373,-64.80741876508726,-65.00457669259511,-64.90525300054072,-65.29760116501474,-65.00066247913016,-64.90175249276466,-65.09955094368179,-64.90449014706468,-64.99986096379297,-64.90253480017033,-65.09791147074007,-64.8074236965018,-64.99862974962271,-65.00224368345502,-64.90524910182484,-64.70730654923949,-65.09789126827758,-64.99945243378978,-65.0041887120471,-65.0060995844754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
